EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
secondary,3,10,Wheat,yes,yes,Medium,100,Armyworms (Pest),No,3000,Medium vulnerable,Medium,30000,Maize,Yes,Based on experience,Yes,100,PYRALE,3500,36000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),No finance,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,61.5501721,108.1152226,1.986277543
no-schooling,6,2,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,4000,Medium vulnerable,Medium,22000,Sorghum,Yes,Based on crop water need,No,90,ACARIENS,3200,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,43.51652855,101.4990033,1.948690519
primary,3,3,Lentil,yes,yes,Medium,100,Rust (Disease),No,1000,Medium vulnerable,Medium,7500,Maize,Yes,Based on experience,Yes,100,PYRALE,1100,8000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of knowledge,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,59.1307376,108.1152226,1.986277543
secondary,5,10,Fababean,yes,yes,Medium,89,Henbit (Weed),Yes,2000,Medium vulnerable,Dry,18000,Maize,Yes,Based on crop water need,Yes,89,PIGWEED,2400,21000,Highly vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,47.25667316,98.19292266,2.156842442
primary,5,1,Wheat,yes,yes,Medium,100,Leaf miners (Pest),No,1300,Medium vulnerable,Medium,6500,Maize,Yes,Based on experience,Yes,100,PYRALE,1300,7000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,59.1307376,108.1152226,1.986277543
primary,6,2,Wheat,yes,yes,Medium,90,Henbit (Weed),Yes,3500,Medium vulnerable,Medium,27000,Maize,Yes,Based on experience,Yes,90,PIGWEED,1800,15000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Dust,TV,31.73849373,94.42613591,2.152072568
no-schooling,5,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,3400,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,90,ACARIENS,3400,19000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.22338851,101.4990033,1.948690519
primary,3,1,Wheat,yes,yes,Medium,90,Wild Oats (Weed),No,800,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,90,PUNAISE,1000,7000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,59.1307376,108.1152226,1.986277543
secondary,4,3,Fababean,yes,yes,Medium,89,Henbit (Weed),Yes,2000,Medium vulnerable,Medium,18000,Maize,Yes,Based on crop water need,Yes,89,PIGWEED,2500,20000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,27.8575337,94.42613591,2.152072568
no-schooling,9,1,Wheat,yes,yes,Medium,95,Rust (Disease),No,8000,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,95,PYRALE,1100,7000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,51.902898,108.1152226,1.986277543
primary,7,1,Fababean,yes,yes,Medium,96,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,14500,Sorghum,Yes,Based on experience,Yes,96,ANTHRANCOSE,3400,12500,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,27.8575337,94.42613591,2.152072568
no-schooling,5,3,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2700,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,85,PUMAISE,2900,17000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,highly vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,41.30212529,101.4990033,1.948690519
no-schooling,6,4,Wheat,yes,yes,Medium,90,Leaf miners (Pest),No,1400,Medium vulnerable,Medium,5000,Sorghum,Yes,Based on experience,Yes,90,PYRALE,1400,7500,Medium vulnerable,Medium,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,61.64974838,108.1152226,1.986277543
no-schooling,8,2,Rye,yes,yes,Medium,90,Henbit (Weed),Yes,2400,Medium vulnerable,Medium,12000,Maize,Yes,Based on experience,Yes,90,PANICORIGE,1700,12000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,27.70888989,96.53818984,2.113445294
secondary,3,2,Fababean,yes,yes,Medium,101,Shepherd's Purse (Weed),Yes,1900,Highly vulnerable,Medium,18000,Maize,Yes,Based on crop water need,Yes,101,PIGWEED,2000,19000,Highly vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,31.73849373,94.42613591,2.152072568
primary,5,4,Wheat,yes,yes,Medium,100,Wild Oats (Weed),No,1200,Medium vulnerable,Medium,7500,Maize,Yes,Based on experience,Yes,100,PYRALE,1300,8000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Radio,62.78511588,108.1152226,1.986277543
no-schooling,6,2,Lentil,yes,no,Medium,80,Powdery Mildew (Disease),No,1700,Medium vulnerable,Medium,15500,Sorghum,Yes,Based on experience,No,80,ACARIENS,2300,19000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,41.58080411,101.4990033,1.948690519
no-schooling,8,10,Wheat,yes,yes,Medium,80,Henbit (Weed),Yes,2800,Medium vulnerable,Medium,28000,Maize,Yes,Based on experience,Yes,80,HERBE A POUX,1600,11000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Dust,Radio,59.04189983,94.42613591,2.152072568
primary,3,1,Wheat,yes,yes,Medium,100,Blight (Disease),Yes,800,Medium vulnerable,Medium,500,Maize,Yes,Based on experience,Yes,100,pyrale,1000,7000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,No,Summer,Often,Medium vulnerable,Drought,Improving irrigation practices,Wilting,From mosque,54.04545077,108.1152226,1.986277543
no-schooling,6,3,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,1800,Medium vulnerable,Medium,12500,Sorghum,Yes,Based on crop water need,No,85,PYRALE,2500,17000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.26681886,101.4990033,1.948690519
primary,4,1,Barley,yes,yes,Medium,95,Fusarium Wilt (Disease),No,1711,Medium vulnerable,Medium,7500,Sorghum,Yes,Based on experience,Yes,95,pyrale,1500,8000,Medium vulnerable,Medium,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,54.04545077,108.1152226,1.986277543
primary,7,2,Fababean,yes,yes,Medium,90,Shepherd's Purse (Weed),Yes,1600,Medium vulnerable,Medium,13000,Maize,Yes,Based on experience,Yes,90,PIGWEED,1800,13500,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,41.23440638,94.42613591,2.152072568
no-schooling,5,1,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,1600,Medium vulnerable,Medium,17000,Sorghum,Yes,Based on crop water need,No,80,PUMAISE,3200,2100,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,41.58080411,101.4990033,1.948690519
no-schooling,4,1,Wheat,yes,yes,Medium,100,Leaf miners (Pest),Yes,1000,Medium vulnerable,Medium,5000,Maize,Yes,Based on qualitative guess,Yes,100,pyrale,1100,7000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of knowledge,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,38.68725544,108.1152226,1.986277543
no-schooling,5,3,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,2600,Medium vulnerable,Medium,14500,Sorghum,Yes,Based on experience,No,80,PUMAISE,3400,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,36.93731852,101.4990033,1.948690519
no-schooling,3,3,Barley,yes,yes,Medium,100,Powdery Mildew (Disease),No,920,Medium vulnerable,Medium,5000,Maize,Yes,Based on qualitative guess,Yes,100,pyrale,1200,6000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,38.68725544,108.1152226,1.986277543
primary,3,3,Wheat,yes,yes,Medium,100,Rust (Disease),No,1400,Medium vulnerable,Medium,6500,Maize,Yes,Based on experience,Yes,100,pyrale,1300,7000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Lower yield,Newspaper,50.57682585,108.1152226,1.986277543
no-schooling,6,3,Barley,yes,no,Medium,90,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,19000,Sorghum,Yes,Based on crop water need,No,90,ACARIENS,2700,20500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,36.93731852,101.4990033,1.948690519
no-schooling,7,1,Lentil,yes,yes,Medium,90,Leaf miners (Pest),No,900,Medium vulnerable,Medium,5000,Maize,Yes,Based on crop water need,Yes,90,pyrale,1000,6000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,50.57682585,108.1152226,1.986277543
no-schooling,2,1,Wheat,yes,yes,Medium,95,Rust (Disease),No,1000,Medium vulnerable,Medium,5500,Maize,Yes,Based on crop water need,Yes,95,PYRALE,1200,600,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,49.82703982,109.2508577,1.949748701
primary,5,3,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2400,Medium vulnerable,Medium,17500,Maize,Yes,Based on crop water need,No,85,ACARIENS,3200,22000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,45.70588058,101.4990033,1.948690519
no-schooling,6,3,Lentil,yes,no,Medium,85,Powdery Mildew (Disease),No,1300,Medium vulnerable,Medium,14500,Sorghum,Yes,Based on crop water need,No,85,PYRALE,3000,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,45.70588058,101.4990033,1.948690519
secondary,2,2,Wheat,yes,yes,Medium,95,Leaf miners (Pest),Yes,2000,Medium vulnerable,Medium,20000,Maize,Yes,Based on experience,Yes,95,punaise,2300,21000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,53.19340081,109.2508577,1.949748701
primary,4,3,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,19500,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,3000,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,36.93731852,101.4990033,1.948690519
primary,2,2,Wheat,yes,yes,Medium,99,Leaf miners (Pest),No,950,Medium vulnerable,Medium,5400,tomate,Yes,Based on qualitative guess,Yes,99,mildiou,3000,25000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Radio,53.19340081,109.2508577,1.949748701
no-schooling,2,2,Wheat,yes,yes,Medium,100,Armyworms (Pest),No,1000,Medium vulnerable,Medium,5600,Maize,Yes,Based on qualitative guess,Yes,100,pyrale,1300,7500,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,51.1949562,109.2508577,1.949748701
no-schooling,10,3,Wheat,yes,no,Medium,100,Powdery Mildew (Disease),No,2800,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,100,PUMAISE,2800,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,37.81105739,101.4990033,1.948690519
secondary,3,2,Fababean,yes,yes,Medium,100,Powdery Mildew (Disease),Yes,2000,Medium vulnerable,Medium,25000,Maize,Yes,Based on crop water need,Yes,100,pyrale,2000,22000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,Medium vulnerable,Drought,Improving irrigation practices,Water stress,Newspaper,51.1949562,109.2508577,1.949748701
primary,8,3,Lentil,yes,no,Medium,85,Powdery Mildew (Disease),No,2700,Medium vulnerable,Medium,21000,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,2800,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.87814194,101.4990033,1.948690519
primary,7,3,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2600,Medium vulnerable,Medium,19000,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,3000,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,45.818094,101.4990033,1.948690519
no-schooling,5,3,Wheat,yes,yes,Medium,85,Rust (Disease),No,890,Medium vulnerable,Medium,5600,Maize,Yes,Based on crop water need,Yes,85,punaise,1100,6000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,54.3925356,109.2508577,1.949748701
secondary,4,2,Wheat,yes,yes,Medium,110,Henbit (Weed),Yes,5300,Medium vulnerable,Medium,42000,Maize,Yes,Based on crop water need,Yes,110,PIGWEED,2600,18900,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,23.92852412,71.94088598,2.358753864
primary,3,2,Wheat,yes,yes,Medium,95,Fusarium Wilt (Disease),No,1500,Medium vulnerable,Medium,7000,Maize,Yes,Based on experience,Yes,500,pyrale,1200,7000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,48.83794482,109.2508577,1.949748701
primary,3,3,Wheat,yes,yes,Medium,85,Fusarium Wilt (Disease),No,1200,Medium vulnerable,Medium,5500,Maize,Yes,Based on crop water need,Yes,110,pyrale,2100,8000,Medium vulnerable,Medium,No,Yes,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,49.82703982,109.2508577,1.949748701
primary,2,5,Wheat,yes,yes,Medium,100,Chickweed (Weed),No,2500,Medium vulnerable,Medium,2000,Maize,Yes,Based on experience,Yes,100,pyrale,1200,20000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,49.82703982,109.2508577,1.949748701
no-schooling,6,4,Barley,yes,no,Medium,85,Powdery Mildew (Disease),No,2500,Medium vulnerable,Medium,18500,Sorghum,Yes,Based on crop water need,No,90,PUMAISE,3200,22500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,48.06870123,101.4990033,1.948690519
secondary,2,4,Fababean,yes,yes,Medium,100,Leaf miners (Pest),Yes,3000,Medium vulnerable,Medium,30000,Maize,Yes,Based on crop water need,Yes,100,pyrale,3200,35000,Medium vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,Yes(Rarely),No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,54.71972489,109.2508577,1.949748701
no-schooling,8,15,Rye,yes,yes,Medium,88,Wild Oats (Weed),Yes,2400,Medium vulnerable,Medium,11500,Sorghum,Yes,Based on experience,Yes,88,ANTHRANCOSE,2800,12000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,26.7493111,75.80779638,2.228820885
no-schooling,8,15,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2700,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,85,PYRALE,3000,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.75284801,101.4990033,1.948690519
primary,30,4,Wheat,yes,yes,Medium,100,Chickweed (Weed),Yes,900,Medium vulnerable,Medium,4500,Maize,Yes,Based on experience,Yes,100,pyrale,1000,700,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,54.3925356,109.2508577,1.949748701
no-schooling,6,10,Lentil,yes,no,Medium,85,Powdery Mildew (Disease),No,2800,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,85,PYRALE,2800,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,45.3538058,101.4990033,1.948690519
primary,3,15,Wheat,yes,yes,Medium,100,Blight (Disease),No,1200,Medium vulnerable,Medium,6000,Maize,Yes,Based on experience,Yes,100,pyrale,1200,8000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,56.03137643,109.2508577,1.949748701
secondary,3,15,Wheat,yes,yes,Medium,100,Rust (Disease),Yes,1300,Medium vulnerable,Medium,7300,Sorghum,Yes,Based on experience,Yes,100,fasoriose,1400,6000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,56.48565421,109.2508577,1.949748701
primary,6,10,Barley,yes,yes,Medium,110,Henbit (Weed),Yes,3500,Medium vulnerable,Medium,19000,Maize,Yes,Based on experience,Yes,110,POURPIER,1800,12000,Medium vulnerable,Dry,Yes (Rarely),Maybe,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,32.71659113,75.80779638,2.228820885
